Año,Mes,Día,Maxima T,Minima T,Promedio T,AVERAGE de Wind speed,MAX de Hi speed,AVERAGE de Bar  ,AVERAGE de Rain rate,MAX de UV  index,AVERAGE de Solar rad,,,,,,,,,,,,,,,,,,
2018,2,8,"16,4","10,9","14,38541667","8,8","48,3","907,36875","0,0","6,2","112,3333333",,,,,,,,,,,,,,,,,,
2018,2,9,"12,6","9,3","10,81666667","11,0","40,2","911,5416667","0,0","4,5","102,9166667",,,,,,,,,,,,,,,,,,
2018,2,10,"17,6","8,2","12,71875","7,4","32,2","915,41875","0,0","7,4","278,7291667",,,,,,,,,,,,,,,,,,
2018,2,11,"23,6","3,6","12,90833333","3,2","25,7","918,9291667","0,0","8,1","269,75",,,,,,,,,,,,,,,,,,
2018,2,12,"27,8","5,6","15,83541667","2,2","16,1","912,4583333","0,0","8,8","279,4375",,,,,,,,,,,,,,,,,,
2018,2,13,"30,7","7,9","17,94166667","1,6","16,1","909,2958333","0,0","7,9","278,6666667",,,,,,,,,,,,,,,,,,
2018,2,14,"29,1","12,2","19,88958333","5,1","19,3","908,4708333","0,0","8,5","273,5416667",,,,,,,,,,,,,,,,,,
2018,2,15,"30,9","10,4","19,43125","3,0","20,9","907,9291667","0,0","8,3","267,4166667",,,,,,,,,,,,,,,,,,
2018,2,16,"27,1","13,5","20,1625","4,6","20,9","910,81875","0,0","8,5","249,8125",,,,,,,,,,,,,,,,,,
2018,2,17,"26,8","14,6","20,26875","4,6","30,6","907,9791667","0,0","8,3","225,3125",,,,,,,,,,,,,,,,,,
2018,2,18,"20,7","14,4","18,0875","8,2","46,7","903,8833333","0,0","8,3","221,4791667",,,,,,,,,,,,,,,,,,
2018,2,19,"20,7","12,3","16,50833333","7,0","37,0","905,43125","0,2","8,4","214,9583333",,,,,,,,,,,,,,,,,,
2018,2,20,"20,9","9,8","15,71666667","4,4","29,0","910,3020833","0,0",8,"268,6666667",,,,,,,,,,,,,,,,,,
2018,2,21,"19,6","10,3","14,51875","4,1","29,0","912,0770833","0,0","6,3",143,,,,,,,,,,,,,,,,,,
2018,2,22,"20,9","12,3","15,2125","2,3","27,4","913,2958333","1,8","5,1","82,0625",,,,,,,,,,,,,,,,,,
2018,2,23,"15,1","10,8","13,0875","6,0","29,0","915,6145833","0,2","2,8","57,97916667",,,,,,,,,,,,,,,,,,
2018,2,24,"22,4","13,3","16,40208333","1,9","19,3","913,8833333","0,0","8,2","174,3333333",,,,,,,,,,,,,,,,,,
2018,2,25,"26,9","13,1","17,84791667","3,2","17,7","912,1104167","0,0",8,"246,8125",,,,,,,,,,,,,,,,,,
2018,2,26,"24,7","12,4","18,10625","5,8","20,9","909,875","0,0","8,4","231,1458333",,,,,,,,,,,,,,,,,,
2018,2,27,"25,9","10,4","17,49375","2,4","17,7","910,5229167","0,0","8,1","249,2083333",,,,,,,,,,,,,,,,,,
2018,2,28,"23,7","12,3","17,87083333","7,1","29,0","909,8854167","0,0","8,2","249,1458333",,,,,,,,,,,,,,,,,,
2018,3,1,"25,9","14,3","18,94375","4,2","20,9","910,7625","0,0","7,8","246,4791667",,,,,,,,,,,,,,,,,,
2018,3,2,"26,1","12,4","18,08125","5,1","19,3","909,5729167","0,0","7,8","242,25",,,,,,,,,,,,,,,,,,
2018,3,3,"22,6","12,7","17,37916667","6,4","35,4","907,4833333","0,0","7,9","237,25",,,,,,,,,,,,,,,,,,
2018,3,4,"17,2","12,2","14,7625","5,8","32,2","910,5854167","0,2","7,2","225,0208333",,,,,,,,,,,,,,,,,,
2018,3,5,"22,9","4,8","13,06458333","2,1","16,1","916,1375","0,0","7,3","235,25",,,,,,,,,,,,,,,,,,
2018,3,6,"28,4","6,2","15,87291667","2,6","24,1","912,1416667","0,0","7,6","231,6875",,,,,,,,,,,,,,,,,,
2018,3,7,"28,2","7,5","16,5625","3,1","20,9","907,1208333","0,0","7,8","226,2916667",,,,,,,,,,,,,,,,,,
2018,3,8,"23,1","14,4","18,97291667","5,2","32,2","905,4958333","0,0","7,1","178,2291667",,,,,,,,,,,,,,,,,,
2018,3,9,"18,2","9,3","14,14583333","5,8","25,7","905,1208333","0,0","4,4","75,5",,,,,,,,,,,,,,,,,,
2018,3,10,"13,6","6,1","10,00625","6,7","29,0","913,4104167","0,0","6,7","189,6875",,,,,,,,,,,,,,,,,,
2018,3,11,"15,9","8,8","12,05625","5,9","35,4","912,0166667","0,2","6,3","141,3541667",,,,,,,,,,,,,,,,,,
2018,3,12,"13,5","8,2","10,73541667","7,3","40,2","907,5166667","0,8","5,4","107,9166667",,,,,,,,,,,,,,,,,,
2018,3,13,"13,7","7,8","10,62083333","10,0","35,4","910,4729167","0,0","7,1","203,3333333",,,,,,,,,,,,,,,,,,
2018,3,14,"11,9","6,8","9,6625","9,0","59,5","906,6375","0,9","4,3","99,0625",,,,,,,,,,,,,,,,,,
2018,3,15,"16,7","5,4","11,125","7,5","35,4","908,9958333","0,0","6,7","212,4166667",,,,,,,,,,,,,,,,,,
2018,3,16,"14,3","7,5","12,5625","7,0","30,6","901,2625","1,8","1,7","52,6875",,,,,,,,,,,,,,,,,,
