Año,Mes,Día,Max_T,Min_T,Av_Temp,Hi_speed,Bar  ,Rain,Rain_rate,UV_index,Solar_rad
2017,11,24,"18,90","6,20","12,36","32,20","942,91","0,00","0,00","9,00","312,40"
2017,11,25,"24,70","8,80","15,85","25,70","943,90","0,00","0,00","9,80","328,46"
2017,11,26,"19,80","10,20","15,02","32,20","940,14","0,00","0,00","9,30","333,25"
2017,11,27,"26,30","4,20","15,79","32,20","943,51","0,00","0,00","9,10","332,63"
2017,11,28,"28,20","7,20","18,08","27,40","938,94","0,00","0,00","9,00","334,33"
2017,11,29,"21,30","11,60","16,49","29,00","924,70","0,00","0,00","8,70","271,35"
2017,11,30,"22,30","8,30","15,37","24,10","910,63","0,00","0,00","8,70","338,75"
2017,12,1,"26,70","6,10","16,53","41,80","909,97","0,00","0,00","8,50","332,85"
2017,12,2,"24,50","13,60","17,63","27,40","909,14","2,60","0,16","8,20","231,73"
2017,12,3,"16,20","11,70","13,81","35,40","914,30","4,40","0,54","3,20","73,73"
2017,12,4,"25,90","6,60","15,56","29,00","911,56","0,00","0,00","9,90","335,67"
2017,12,5,"27,70","8,90","17,48","27,40","907,70","0,00","0,00","9,40","314,71"
2017,12,6,"24,40","12,80","18,69","29,00","908,54","0,00","0,00","9,70","346,69"
2017,12,7,"22,40","9,80","16,33","32,20","908,12","0,00","0,00","10,70","346,17"
2017,12,8,"19,90","10,60","15,32","41,80","908,45","0,00","0,00","10,00","347,90"
2017,12,9,"20,10","11,90","15,68","32,20","912,24","0,00","0,00","7,90","223,65"
2017,12,10,"30,80","15,40","20,89","38,60","909,95","0,00","0,00","10,50","341,00"
2017,12,11,"29,00","11,10","18,81","27,40","905,38","0,00","0,00","9,50","307,29"
2017,12,12,"20,40","15,10","17,70","35,40","907,74","0,00","0,00","9,30","294,92"
2017,12,13,"18,30","13,60","15,49","37,00","912,26","0,00","0,00","10,40","216,29"
2017,12,14,"17,90","13,90","15,37","43,50","911,26","0,00","0,00","8,90","233,94"
2017,12,15,"17,90","11,00","14,64","35,40","907,40","0,00","0,00","7,70","115,23"
2017,12,16,"15,80","6,00","11,45","48,30","901,67","13,80","1,07","9,90","114,92"
2017,12,17,"19,90","4,40","11,51","30,60","915,71","0,00","0,00","9,90","355,23"
2017,12,18,"24,30","8,00","15,29","24,10","910,47","0,00","0,00","10,20","352,54"
2017,12,19,"24,60","8,60","16,06","19,30","909,79","0,00","0,00","9,60","268,69"
2017,12,20,"17,90","10,80","14,17","40,20","906,41","2,00","0,24","6,70","160,54"
2017,12,21,"17,70","8,10","13,11","48,30","910,04","0,00","0,00","10,40","338,29"
2017,12,22,"13,60","10,10","11,70","41,80","910,69","0,00","0,00","7,70","162,79"
2017,12,23,"21,40","3,20","12,32","32,20","915,00","0,00","0,00","10,20","356,98"
2017,12,24,"19,10","9,40","14,19","43,50","911,04","0,00","0,00","10,10","244,75"
2017,12,25,"18,50","13,40","15,80","48,30","906,27","1,40","0,10","6,90","133,04"
2017,12,26,"18,50","12,60","15,49","40,20","908,48","0,60","0,07","10,60","361,50"
2017,12,27,"22,80","10,00","16,19","32,20","910,51","0,00","0,00","11,10","352,23"
2017,12,28,"20,90","14,60","17,51","40,20","909,19","0,00","0,00","8,10","177,63"
2017,12,29,"18,10","12,70","15,92","38,60","904,54","9,20","0,53","4,40","88,58"
2017,12,30,"16,40","11,20","13,59","38,60","909,76","0,20","0,00","9,90","348,73"
2017,12,31,"21,00","7,60","13,63","27,40","911,59","0,00","0,00","10,20","341,46"
2018,1,1,"19,20","9,10","13,87","45,10","911,12","0,00","0,00","10,30","307,65"
2018,1,2,"16,60","9,80","13,10","43,50","909,81","0,60","0,00","6,70","126,38"
2018,1,3,"16,90","12,90","14,63","43,50","902,88","38,00","2,50","1,70","30,98"
2018,1,4,"14,90","10,70","13,42","38,60","903,42","0,60","0,03","7,50","156,40"
2018,1,5,"14,20","9,30","11,48","45,10","912,61","0,00","0,00","7,60","181,65"
2018,1,6,"21,50","8,10","14,52","30,60","916,39","0,00","0,00","10,70","302,38"
2018,1,7,"26,30","10,80","17,90","22,50","912,64","0,00","0,00","11,30","288,25"
2018,1,8,"29,30","8,20","17,66","41,80","908,44","0,00","0,00","10,90","339,65"
2018,1,9,"27,90","12,70","19,28","29,00","909,73","0,00","0,00","11,10","321,94"
2018,1,10,"30,80","13,20","20,61","25,70","907,94","0,00","0,00","9,60","319,85"
